npk,sub_post,post,grp,sect,dept,dept_account,division,plant
72489,NULL,NULL,1-001-002-008-044,1-001-002-008,1-001-002,1-001-002,1-001,1
72490,NULL,NULL,1-001-002-008-067,1-001-002-008,1-001-002,1-001-002,1-001,1
72491,NULL,NULL,1-001-002-007-040,1-001-002-007,1-001-002,1-001-002,1-001,1
72492,NULL,NULL,1-001-002-007-040,1-001-002-007,1-001-002,1-001-002,1-001,1
72493,NULL,NULL,1-001-002-007-040,1-001-002-007,1-001-002,1-001-002,1-001,1
72494,NULL,NULL,1-001-002-007-039,1-001-002-007,1-001-002,1-001-002,1-001,1
72495,NULL,NULL,1-001-002-007-038,1-001-002-007,1-001-002,1-001-002,1-001,1
72496,NULL,NULL,1-001-002-007-037,1-001-002-007,1-001-002,1-001-002,1-001,1
72497,NULL,NULL,1-001-002-007-035,1-001-002-007,1-001-002,1-001-002,1-001,1
72498,NULL,NULL,1-001-002-007-035,1-001-002-007,1-001-002,1-001-002,1-001,1
72499,NULL,NULL,1-001-002-007-066,1-001-002-007,1-001-002,1-001-002,1-001,1
72500,NULL,NULL,1-001-002-007-066,1-001-002-007,1-001-002,1-001-002,1-001,1
72501,NULL,NULL,1-001-002-007-038,1-001-002-007,1-001-002,1-001-002,1-001,1
72502,NULL,NULL,1-001-002-007-038,1-001-002-007,1-001-002,1-001-002,1-001,1
72503,NULL,NULL,1-001-002-007-038,1-001-002-007,1-001-002,1-001-002,1-001,1
72504,NULL,NULL,1-001-002-007-037,1-001-002-007,1-001-002,1-001-002,1-001,1
72505,NULL,NULL,1-001-002-007-038,1-001-002-007,1-001-002,1-001-002,1-001,1
72506,NULL,NULL,1-001-002-007-035,1-001-002-007,1-001-002,1-001-002,1-001,1
72507,NULL,NULL,1-001-002-007-035,1-001-002-007,1-001-002,1-001-002,1-001,1
72508,NULL,NULL,1-001-002-007-035,1-001-002-007,1-001-002,1-001-002,1-001,1
72509,NULL,NULL,1-001-002-007-066,1-001-002-007,1-001-002,1-001-002,1-001,1
72510,NULL,NULL,1-001-002-008-044,1-001-002-008,1-001-002,1-001-002,1-001,1
72511,NULL,NULL,1-001-002-008-043,1-001-002-008,1-001-002,1-001-002,1-001,1
72512,NULL,NULL,1-001-002-007-037,1-001-002-007,1-001-002,1-001-002,1-001,1
72513,NULL,NULL,1-001-002-007-035,1-001-002-007,1-001-002,1-001-002,1-001,1
72514,NULL,NULL,1-001-002-007-036,1-001-002-007,1-001-002,1-001-002,1-001,1
72515,NULL,NULL,1-001-002-007-066,1-001-002-007,1-001-002,1-001-002,1-001,1
72516,NULL,NULL,1-001-002-008-045,1-001-002-008,1-001-002,1-001-002,1-001,1
72517,NULL,NULL,1-001-002-008-043,1-001-002-008,1-001-002,1-001-002,1-001,1
72518,NULL,NULL,1-001-002-007-035,1-001-002-007,1-001-002,1-001-002,1-001,1
72519,NULL,NULL,1-001-002-007-036,1-001-002-007,1-001-002,1-001-002,1-001,1
